eg,chemsys,nelements,formula
0.0,Ti-U-Zr,3,Zr(U5Ti2)2
0.0,S-U-Zr,3,Zr(US2)3
0.0,Ge-V-Zr,3,Zr(V3Ge2)3
0.0,Ga-V-Zr,3,Zr(VGa2)2
1.0118,N-Zn-Zr,3,Zr(ZnN)4
0.0,Al-Sb-Zr,3,Zr10(AlSb)3
0.0,Ga-Sb-Zr,3,Zr10(GaSb)3
0.0,Ir-Pt-Zr,3,Zr10(IrPt)3
0.0,Al-O-Zr,3,Zr10Al6O
0.0,Cr-Sb-Zr,3,Zr10CrSb5
0.0,H-N-Zr,3,Zr10HN8
0.0,Ni-Sb-Sn-Zr,4,Zr10NiSnSb4
0.0,Sn-Zr,2,Zr10Sn7
1.3888000000000005,O-V-Zr,3,Zr11VO24
1.7607000000000004,O-V-Zr,3,Zr11VO24
0.0,Ni-O-Ti-Zr,4,Zr12Ti4Ni8O
0.0,B-Co-Zr,3,Zr2(Co7B2)3
0.0,Cu-Sb-Zr,3,Zr2(CuSb)3
0.0,B-Ni-Zr,3,Zr2(Ni7B2)3
0.0,Ni-P-Zr,3,Zr2(NiP)3
0.0,Pd-Rh-Zr,3,Zr2(PdRh)3
0.5350000000000001,S-Se-Zr,3,Zr2(SeS)3
0.0,Ga-Ti-Zr,3,Zr2(TiGa)3
0.0,Si-Ti-Zr,3,Zr2(TiSi)3
0.0,Sn-Ti-Zr,3,Zr2(TiSn)3
0.0,Ga-Zn-Zr,3,Zr2(ZnGa)3
0.0,Ag-Zr,2,Zr2Ag
0.2055999999999997,Ag-F-Zr,3,Zr2Ag3F14
1.6275999999999995,Ag-N-Zr,3,Zr2AgN3
0.165,Ag-F-Pd-Zr,4,Zr2AgPdF11
0.0,Al-Zr,2,Zr2Al
0.0,Al-Zr,2,Zr2Al
0.0,Al-Zr,2,Zr2Al3
0.0,Al-C-Zr,3,Zr2Al3C4
0.0,Al-C-Zr,3,Zr2Al3C4
0.0,Al-C-Zr,3,Zr2Al3C4
0.0,Al-C-Zr,3,Zr2Al3C5
0.0,Al-Co-Zr,3,Zr2Al3Co
0.0,Al-Cr-Zr,3,Zr2Al3Cr
0.0,Al-Ni-Zr,3,Zr2Al3Ni
0.0,Al-Zn-Zr,3,Zr2Al3Zn
0.0,Al-C-Zr,3,Zr2Al4C5
0.0,Al-C-Zr,3,Zr2AlC
0.0,Al-Cu-Zr,3,Zr2AlCu2
0.0,Al-Fe-Zr,3,Zr2AlFe3
0.0,Al-Fe-Zr,3,Zr2AlFe3
0.0,Al-N-Zr,3,Zr2AlN
0.0,Al-Si-Zr,3,Zr2AlSi
0.0,As-S-Zr,3,Zr2As3S
0.0,As-Se-Zr,3,Zr2As3Se
0.0,Au-Zr,2,Zr2Au
0.0,B-Ir-Zr,3,Zr2BIr6
0.0,B-Ir-Zr,3,Zr2BIr6
0.0,B-N-Zr,3,Zr2BN
0.0,Be-Zr,2,Zr2Be17
2.7929,Bi-O-Zr,3,Zr2Bi2O7
0.0,C-N-Zr,3,Zr2CN
0.0,C-S-Zr,3,Zr2CS
0.0,Cd-Zr,2,Zr2Cd
0.0,Co-Zr,2,Zr2Co
0.0,Co-Zr,2,Zr2Co
0.0,Co-P-Zr,3,Zr2Co12P7
0.0,Co-Mo-Zr,3,Zr2Co3Mo
0.0,Co-Mo-Zr,3,Zr2Co3Mo
0.0,Co-P-Zr,3,Zr2Co4P3
0.0,Co-Cu-Sn-Zr,4,Zr2CoCuSn2
0.0,Co-H-Zr,3,Zr2CoH5
0.0,Co-Mo-Zr,3,Zr2CoMo3
0.0,Co-Mo-Zr,3,Zr2CoMo3
0.0,Co-Ni-Zr,3,Zr2CoNi
0.0,Co-Os-Zr,3,Zr2CoOs
0.0,Co-P-Zr,3,Zr2CoP
0.0,Co-S-Zr,3,Zr2CoS4
0.0,Co-Si-Zr,3,Zr2CoSi2
0.0,Co-Tc-Zr,3,Zr2CoTc
0.0,Cr-F-Zr,3,Zr2Cr2F3
0.0,Cr-F-Zr,3,Zr2Cr2F3
0.0,Cr-Fe-Zr,3,Zr2Cr3Fe
0.0,Cr-Si-Zr,3,Zr2Cr3Si
0.0,Cr-Si-Zr,3,Zr2Cr4Si5
0.0,Co-Cr-Zr,3,Zr2CrCo3
0.0,Cr-Fe-Zr,3,Zr2CrFe3
0.0,Cr-Fe-Zr,3,Zr2CrFe3
0.0,Cr-N-Zr,3,Zr2CrN3
0.0,Cu-Zr,2,Zr2Cu
0.0,Cu-Zr,2,Zr2Cu
0.0,Cu-Zr,2,Zr2Cu
0.0,Cu-Sb-Zr,3,Zr2Cu3Sb
0.0,Cu-Ge-Zr,3,Zr2CuGe4
0.0,Cu-H-Zr,3,Zr2CuH2
0.0,Cu-H-Zr,3,Zr2CuH5
0.0,Cu-Os-Zr,3,Zr2CuOs
0.0,Cu-Re-Zr,3,Zr2CuRe
0.0,Cu-S-Zr,3,Zr2CuS4
0.0,Cu-Sb-Zr,3,Zr2CuSb3
0.0,Cu-Si-Zr,3,Zr2CuSi4
0.0,Cu-P-Si-Zr,4,Zr2CuSiP2
0.0,Cu-Tc-Zr,3,Zr2CuTc
0.0,Fe-Zr,2,Zr2Fe
0.0,Fe-Zr,2,Zr2Fe
0.0,Fe-P-Zr,3,Zr2Fe12P7
0.0,F-Fe-Zr,3,Zr2Fe2F3
0.0,F-Fe-Zr,3,Zr2Fe2F3
0.0,Fe-Ge-Zr,3,Zr2Fe3Ge
0.0,Fe-Si-Zr,3,Zr2Fe3Si
0.0,B-Fe-Ru-Zr,4,Zr2FeB2Ru5
0.0,Co-Fe-Zr,3,Zr2FeCo3
0.0,Fe-H-Zr,3,Zr2FeH5
0.0,Fe-Os-Zr,3,Zr2FeOs
0.0278,Fe-S-Zr,3,Zr2FeS4
0.0,Fe-Tc-Zr,3,Zr2FeTc
0.0,Ga-Zr,2,Zr2Ga
0.0,Ga-Zr,2,Zr2Ga3
0.0,Co-Ga-Zr,3,Zr2Ga3Co
0.0,Co-Ga-Zr,3,Zr2Ga3Co
0.0,Cu-Ga-Zr,3,Zr2Ga3Cu
0.0,Ga-Ni-Zr,3,Zr2Ga3Ni
0.0,Co-Ga-Zr,3,Zr2GaCo3
0.0,Fe-Ga-Zr,3,Zr2GaFe3
0.0,Ga-N-Zr,3,Zr2GaN3
0.0,Ge-Sb-Zr,3,Zr2GeSb2
0.0,Cl-H-N-Zr,4,Zr2H(NCl)2
0.0,H-Pd-Zr,3,Zr2H2Pd
0.0,H-Pd-Zr,3,Zr2H3Pd
0.0,Br-H-Zr,3,Zr2HBr2
0.0,C-H-Zr,3,Zr2HC
0.0243000000000002,In-Zr,2,Zr2In3
0.0,Au-In-Zr,3,Zr2InAu2
0.0,Au-In-Zr,3,Zr2InAu2
0.0,C-In-Zr,3,Zr2InC
0.0,Co-In-Zr,3,Zr2InCo2
0.0,In-N-Zr,3,Zr2InN
0.0,In-Ni-Zr,3,Zr2InNi2
0.0,In-Ni-Zr,3,Zr2InNi2
0.0,In-Ni-Zr,3,Zr2InNi2
0.0,In-Pd-Zr,3,Zr2InPd2
0.0,Ir-Zr,2,Zr2Ir
0.0,Ir-Zr,2,Zr2Ir
0.0,Ga-Mn-Sn-Zr,4,Zr2Mn12GaSn11
0.0,Mn-P-Zr,3,Zr2Mn4P3
0.0,Fe-Mn-Zr,3,Zr2MnFe3
0.0,N-Zr,2,Zr2N
2.0306,N-O-Zr,3,Zr2N2O
0.9194,N-O-Zr,3,Zr2N2O
1.7534999999999998,N-O-Zr,3,Zr2N2O
1.5175,N-O-Zr,3,Zr2N2O
0.0,N-O-Zr,3,Zr2N2O
1.7227,N-O-Zr,3,Zr2N2O
0.1973000000000002,N-O-Zr,3,Zr2N2O
1.9188,N-O-Zr,3,Zr2N2O
1.6522999999999994,N-O-Zr,3,Zr2N2O
1.0808000000000004,N-O-Zr,3,Zr2N2O
0.0762,N-O-Zr,3,Zr2N2O
1.4136000000000002,N-O-Zr,3,Zr2N2O
1.0257000000000005,N-O-Zr,3,Zr2N2O
0.8702999999999999,N-O-Zr,3,Zr2N2O
1.5091000000000006,N-O-Zr,3,Zr2N2O
1.6695000000000002,N-O-Zr,3,Zr2N2O
0.0,C-Mo-Nb-Zr,4,Zr2NbMoC4
0.0,Ni-Zr,2,Zr2Ni
0.0,Ni-P-Zr,3,Zr2Ni12P7
0.0,Ni-Sn-Zr,3,Zr2Ni2Sn
0.0,Ni-Sn-Zr,3,Zr2Ni2Sn
0.0,Ni-Zr,2,Zr2Ni7
0.0,Ni-Zr,2,Zr2Ni7
0.0,As-Ni-Zr,3,Zr2NiAs2
0.0,Ni-P-Zr,3,Zr2NiP
0.0,Ni-P-Zr,3,Zr2NiP2
0.0,Ni-S-Zr,3,Zr2NiS4
0.0,Ni-Se-Zr,3,Zr2NiSe4
0.0,Np-Zr,2,Zr2Np
0.0,O-Zr,2,Zr2O
0.0,O-Zr,2,Zr2O
0.0,Os-Ru-Zr,3,Zr2OsRu
3.8926,O-P-Zr,3,Zr2P2O9
3.886200000000001,O-P-Zr,3,Zr2P2O9
0.0,P-S-Zr,3,Zr2P3S
0.0,O-P-Zr,3,Zr2P4O17
0.0,O-P-Zr,3,Zr2P4O17
0.0,P-Rh-Zr,3,Zr2P7Rh12
0.0,P-S-Zr,3,Zr2PS2
0.0,C-Pb-Zr,3,Zr2PbC
0.0,Pd-Zr,2,Zr2Pd
0.0,Pt-Zr,2,Zr2Pt
0.0,Re-Rh-Zr,3,Zr2ReRh
0.0,Rh-Zr,2,Zr2Rh
0.0,O-S-Zr,3,Zr2S2O
0.5637999999999996,N-S-Zr,3,Zr2SN2
0.5502000000000002,N-S-Zr,3,Zr2SN2
1.0071000000000003,O-S-Zr,3,Zr2SO3
0.0,Sb-Zr,2,Zr2Sb
1.8279000000000003,O-Pb-Sb-Zr,4,Zr2Sb2Pb4O13
