ID,composition,source,temperature,target,family,ChemicalFamily,0
382.0,Li1.3Cr0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,25.0,5.26e-07,NASICON,Oxides,
383.0,Li1.2Cr0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,25.0,2.54e-07,NASICON,Oxides,
384.0,Li1.5Cr0.5Hf1.5(PO4)3,10.1016/0167-2738(93)90387-I,25.0,1.18e-07,NASICON,Oxides,
385.0,Li1.1Cr0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,25.0,9.35e-08,NASICON,Oxides,
386.0,Li1.3Eu0.3Ti1.7(PO4)3,10.1016/0167-2738(94)90299-2,25.0,6e-05,NASICON,Oxides,
387.0,LiZr2(PO4)3,10.1016/0167-2738(90)90188-W,25.0,3.3e-06,NASICON,Oxides,
388.0,LiHf2(PO4)3,10.1016/B978-0-08-021592-1.50024-6,25.0,3.8e-06,NASICON,Oxides,
389.0,Li1.3Al0.3Ge1.4Ti0.3(PO4)3,10.1016/j.electacta.2005.12.055,227.0,0.0011,NASICON,,
390.0,Li1.15Y0.15Zr1.85(PO4)3,10.1016/j.jpowsour.2013.03.175,25.0,7.1e-05,NASICON,Oxides,
391.0,LiZr2(PO4)3,10.1016/j.jpowsour.2013.03.175,25.0,5e-08,NASICON,Oxides,
392.0,Li0.8Zr1.8Ta0.2(PO4)3,10.1016/0025-5408(77)90161-1,200.0,7.4e-05,NASICON,,
393.0,Li1.3Al0.29Sc0.01Ti1.7(PO4)3,10.1016/j.physb.2016.04.027,140.0,0.000119,NASICON,,
394.0,Li1.3Al0.25Sc0.05Ti1.7(PO4)3,10.1016/j.physb.2016.04.027,140.0,0.000108,NASICON,,
395.0,Li1.3Al0.27Sc0.03Ti1.7(PO4)3,10.1016/j.physb.2016.04.027,140.0,8.47e-05,NASICON,,
396.0,Li1.3Al0.23Sc0.07Ti1.7(PO4)3,10.1016/j.physb.2016.04.027,140.0,7e-05,NASICON,,
397.0,Li1.02Zr1.98Y0.02(PO4)3,10.1016/j.ssi.2003.12.037,25.0,1.15e-07,NASICON,Oxides,
398.0,Li0.9Zr1.9Nb0.1(PO4)3,10.1016/j.ssi.2003.12.037,25.0,1.35e-06,NASICON,Oxides,
